Nazwisko i imiona;Nazwa komitetu
Jan Jakub KANTHAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bartàomiej Artur PEJO;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Marta Anna WCISùO;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Michaà Mateusz KRAWCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof BOJARSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Wiesàaw Marian R‡ΩY„SKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Sàawomir èWIK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Mariusz KAMI„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jarosàaw SACHAJKO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Tomasz Andrzej ZIELI„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Dariusz Paweà STEFANIUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marcin ROMANOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Sàawomir ZAWIóLAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anna D§BROWSKA-BANASZEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Witold Sàawomir TUMANOWICZ;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Krzysztof GRABCZUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maàgorzata GROMADZKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maja Ewa NOWAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Stanisàaw TOMCZYSZYN;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Anita Agnieszka KUCHARSKA-DZIEDZIC;KOMITET WYBORCZY NOWA LEWICA
Marek AST;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Wàadysàaw DAJCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jerzy Marian MATERNA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
ùukasz MEJZA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Elæbieta Anna POLAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Waldemar Jan SùUGOCKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krystyna Mieczysàawa SIBI„SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Robert DOWHAN;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna OSOS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ewa Joanna SZYMANOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Tomasz Dominik TRELA;KOMITET WYBORCZY NOWA LEWICA
Zbigniew Wàodzimierz RAU;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Waldemar Grzegorz BUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Agnieszka Krystyna WOJCIECHOWSKA VAN HEUKELOM;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Dariusz JO„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maàgorzata Barbara NIEMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksandra Karolina WIóNIEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paweà Kazimierz BLIçNIUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marcin J‡ZEFACIUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Dariusz KLIMCZAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Antoni MACIEREWICZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Robert TELUS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anna Maria MILCZANOWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Paweà SAùEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz Andrzej LOREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krzysztof Jan CIECI‡RA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Bogusàaw WOùOSZA„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Adrian WITCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paweà Jan BEJDA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Jolanta ZI®BA-GZIK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Paulina MATYSIAK;KOMITET WYBORCZY NOWA LEWICA
Joanna Katarzyna LICHOCKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Tadeusz Jacek WOçNIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marcin Paweà PRZYDACZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Piotr Stanisàaw POLAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Paweà Piotr RYCHLIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marek MATUSZEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Cezary J¢zef TOMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Agnieszka Maàgorzata HANAJCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof Stefan HABURA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paweà Marek óLIZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Rafaà Paweà BOCHENEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Mariusz Tomasz KRYSTIAN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
ùukasz Marek KMITA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Filip Roman KACZY„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Wàadysàaw Michaà KUROWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Dorota NIEDZIELA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Jan SOWA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Rafaà Paweà KOMAREWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Ireneusz Jacek RAó;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Daria Iwona GOSEK-POPIOùEK;KOMITET WYBORCZY NOWA LEWICA
Maàgorzata Ewa WASSERMANN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Andrzej Mieczysàaw ADAMCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jacek Piotr OSUCH;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Elæbieta DUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Agnieszka óCIGAJ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Konrad Szczepan BERKOWICZ;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Bartàomiej Henryk SIENKIEWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jagna Kinga MARCZUùAJTIS-WALCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksander Jan MISZALSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Dorota MAREK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Irena MATUSIK-LIPIEC;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Urszula Teresa NOWOG‡RSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Ryszard Iwon TERLECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Arkadiusz MULARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Barbara Halina BARTUó;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Edward SIARKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Patryk Tomasz WICHER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Andrzej J¢zef GUT-MOSTOWY;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Ryszard Jakub WILK;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Weronika Anna SMARDUCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr Michaà LACHOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Wàadysàaw Marcin KOSINIAK-KAMYSZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Piotr Tadeusz G‡RNIKIEWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Anna Maria PIECZARKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
J¢zefa SZCZUREK-ΩELAZKO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Urszula Beata RUSECKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Wiesàaw KRAJEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Norbert Jakub KACZMARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Urszula Danuta AUGUSTYN;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Robert Marian WARDZAùA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr ZGORZELSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Mirosàaw Adam ORLI„SKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Kamil BORTNICZUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Maciej MAùECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Maciej Roman W§SIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anna Ewa CICHOLSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Jacek Dawid OZDOBA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marcin Piotr KIERWI„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Elæbieta Teresa GAPI„SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Adam KRZEMI„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Mirosàaw Wojciech MALISZEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Marek Witold SUSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anna KWIECIE„;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Zbigniew Krzysztof KUçMIUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Radosàaw Aleksander FOGIEL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Andrzej Tomasz KOSZTOWNIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Agnieszka Beata G‡RSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Joanna Graæyna KLUZIK-ROSTKOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Konrad Mirosàaw FRYSZTAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Wacàaw SAWICKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Ωaneta CWALINA-óLIWOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Maria Zofia KOC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krzysztof J¢zef TCH‡RZEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Henryk KOWALCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Arkadiusz CZARTORYSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Grzegorz Adam WOçNIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marcin GRABOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Daniel George MILEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Krzysztof MULAWA;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Kamila GASIUK-PIHOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Czesàaw MROCZEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Michaà Andrzej KOBOSKO;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Wàadysàaw Teofil BARTOSZEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Ryszard Jerzy PETRU;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Adrian Tadeusz ZANDBERG;KOMITET WYBORCZY NOWA LEWICA
Anna Maria ΩUKOWSKA;KOMITET WYBORCZY NOWA LEWICA
Dorota Zofia OLKO;KOMITET WYBORCZY NOWA LEWICA
Piotr Tadeusz GLI„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Maàgorzata Maria GOSIEWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Sebastian Jerzy KALETA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Marek JAKUBIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Sàawomir Jerzy MENTZEN;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Donald Franciszek TUSK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Urszula Sara ZIELI„SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksandra Maàgorzata GAJEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Anna LUBNAUER;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Andrzej Jan DOMA„SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Maria PIEKARSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Michaà Roch SZCZERBA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Dorota Ewa ùOBODA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Klaudia Krystyna JACHIRA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paweà Ksawery ZALEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Boæena Jadwiga ΩELAZOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOùOWNI - POLSKIE STRONNICTWO LUDOWE
Joanna Beata WICHA;KOMITET WYBORCZY NOWA LEWICA
Mariusz BùASZCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Anita CZERWI„SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Piotr Michaà UóCI„SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Dominika Maàgorzata CHOROSI„SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOóè
Karina Anna BOSAK;KOMITET WYBORCZY KONFEDERACJA WOLNOóè I NIEPODLEGùOóè
Jan Stanisàaw GRABIEC;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Kinga Magdalena GAJEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maciej Grzegorz LASEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
