Nazwisko i imiona;Nazwa komitetu
Iwona Maria KOZ£OWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof BREJZA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
W≥odzis≥aw S≥awomir GIZI—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona KAROLEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Zbigniew SOSNOWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Marcin Seweryn SKONIECZKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Joanna Izabela SCHEURING-WIELGUS;KOMITET WYBORCZY NOWA LEWICA
Krzysztof £ukasz SZCZUCKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Joanna Beata BOROWIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna Urszula GEMBICKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jan Krzysztof ARDANOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Mariusz Piotr KA£UØNY;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Przemys≥aw Janusz WIPLER;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Arkadiusz MYRCHA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Iwona HARTWICH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz JÛzef SZYMA—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krystian Marek £UCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Joanna MUCHA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof Andrzej HETMAN;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Jacek Andrzej CZERNIAK;KOMITET WYBORCZY NOWA LEWICA
Przemys≥aw CZARNEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ MOSKAL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Magdalena FILIPEK-SOBCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Sylwester Karol TU£AJEW;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Artur SOBO—;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
S≥awomir SKWAREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Kazimierz Bogus≥aw CHOMA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jan Jakub KANTHAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bart≥omiej Artur PEJO;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Marta Anna WCIS£O;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Micha≥ Mateusz KRAWCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof BOJARSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Wies≥aw Marian R”ØY—SKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
S≥awomir ∆WIK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Mariusz KAMI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jaros≥aw SACHAJKO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Tomasz Andrzej ZIELI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dariusz Pawe≥ STEFANIUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin ROMANOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
S≥awomir ZAWIåLAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna D•BROWSKA-BANASZEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Witold S≥awomir TUMANOWICZ;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Krzysztof GRABCZUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ma≥gorzata GROMADZKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maja Ewa NOWAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Stanis≥aw TOMCZYSZYN;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Anita Agnieszka KUCHARSKA-DZIEDZIC;KOMITET WYBORCZY NOWA LEWICA
Marek AST;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
W≥adys≥aw DAJCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jerzy Marian MATERNA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
£ukasz MEJZA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Eløbieta Anna POLAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Waldemar Jan S£UGOCKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krystyna Mieczys≥awa SIBI—SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Robert DOWHAN;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna OSOS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ewa Joanna SZYMANOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Tomasz Dominik TRELA;KOMITET WYBORCZY NOWA LEWICA
Zbigniew W≥odzimierz RAU;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Waldemar Grzegorz BUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Agnieszka Krystyna WOJCIECHOWSKA VAN HEUKELOM;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dariusz JO—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ma≥gorzata Barbara NIEMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksandra Karolina WIåNIEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Pawe≥ Kazimierz BLIèNIUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marcin J”ZEFACIUK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Dariusz KLIMCZAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Antoni MACIEREWICZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Robert TELUS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna Maria MILCZANOWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Pawe≥ SA£EK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz Andrzej LOREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof Jan CIECI”RA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bogus≥aw WO£OSZA—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Adrian WITCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Pawe≥ Jan BEJDA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Jolanta ZI BA-GZIK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Paulina MATYSIAK;KOMITET WYBORCZY NOWA LEWICA
Joanna Katarzyna LICHOCKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Tadeusz Jacek WOèNIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin Pawe≥ PRZYDACZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Piotr Stanis≥aw POLAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Pawe≥ Piotr RYCHLIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marek MATUSZEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Cezary JÛzef TOMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Agnieszka Ma≥gorzata HANAJCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof Stefan HABURA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Pawe≥ Marek åLIZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Rafa≥ Pawe≥ BOCHENEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Mariusz Tomasz KRYSTIAN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
£ukasz Marek KMITA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Filip Roman KACZY—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
W≥adys≥aw Micha≥ KUROWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dorota NIEDZIELA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Jan SOWA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Rafa≥ Pawe≥ KOMAREWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Ireneusz Jacek RAå;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Daria Iwona GOSEK-POPIO£EK;KOMITET WYBORCZY NOWA LEWICA
Ma≥gorzata Ewa WASSERMANN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej Mieczys≥aw ADAMCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jacek Piotr OSUCH;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Eløbieta DUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Agnieszka åCIGAJ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Konrad Szczepan BERKOWICZ;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Bart≥omiej Henryk SIENKIEWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jagna Kinga MARCZU£AJTIS-WALCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksander Jan MISZALSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Dorota MAREK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Irena MATUSIK-LIPIEC;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Urszula Teresa NOWOG”RSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Ryszard Iwon TERLECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Arkadiusz MULARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Barbara Halina BARTUå;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Edward SIARKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Patryk Tomasz WICHER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej JÛzef GUT-MOSTOWY;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Ryszard Jakub WILK;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Weronika Anna SMARDUCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr Micha≥ LACHOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
W≥adys≥aw Marcin KOSINIAK-KAMYSZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Piotr Tadeusz G”RNIKIEWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Anna Maria PIECZARKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
JÛzefa SZCZUREK-ØELAZKO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Urszula Beata RUSECKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Wies≥aw KRAJEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Norbert Jakub KACZMARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Urszula Danuta AUGUSTYN;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Robert Marian WARDZA£A;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr ZGORZELSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Miros≥aw Adam ORLI—SKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Kamil BORTNICZUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Maciej MA£ECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Maciej Roman W•SIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna Ewa CICHOLSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jacek Dawid OZDOBA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin Piotr KIERWI—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Eløbieta Teresa GAPI—SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Adam KRZEMI—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Miros≥aw Wojciech MALISZEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Marek Witold SUSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna KWIECIE—;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Zbigniew Krzysztof KUèMIUK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Rados≥aw Aleksander FOGIEL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej Tomasz KOSZTOWNIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Agnieszka Beata G”RSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Joanna Graøyna KLUZIK-ROSTKOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Konrad Miros≥aw FRYSZTAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Wac≥aw SAWICKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Øaneta CWALINA-åLIWOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Maria Zofia KOC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof JÛzef TCH”RZEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Henryk KOWALCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Arkadiusz CZARTORYSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz Adam WOèNIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin GRABOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Daniel George MILEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof MULAWA;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Kamila GASIUK-PIHOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Czes≥aw MROCZEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Micha≥ Andrzej KOBOSKO;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
W≥adys≥aw Teofil BARTOSZEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Ryszard Jerzy PETRU;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Adrian Tadeusz ZANDBERG;KOMITET WYBORCZY NOWA LEWICA
Anna Maria ØUKOWSKA;KOMITET WYBORCZY NOWA LEWICA
Dorota Zofia OLKO;KOMITET WYBORCZY NOWA LEWICA
Piotr Tadeusz GLI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Ma≥gorzata Maria GOSIEWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Sebastian Jerzy KALETA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marek JAKUBIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
S≥awomir Jerzy MENTZEN;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Donald Franciszek TUSK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Urszula Sara ZIELI—SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Aleksandra Ma≥gorzata GAJEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Anna LUBNAUER;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Andrzej Jan DOMA—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Maria PIEKARSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Micha≥ Roch SZCZERBA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Dorota Ewa £OBODA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Klaudia Krystyna JACHIRA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Pawe≥ Ksawery ZALEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Boøena Jadwiga ØELAZOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Joanna Beata WICHA;KOMITET WYBORCZY NOWA LEWICA
Mariusz B£ASZCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anita CZERWI—SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Piotr Micha≥ UåCI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dominika Ma≥gorzata CHOROSI—SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
